OBJID,RADEG,DECDEG,MAG0,PRI
210491860,67.30146,15.273897,12.0029993,1.0
210500010,67.220547,15.414002,12.5979996,1.0
210500754,67.308236,15.425755,12.5339994,1.0
210513593,67.535824,15.637839,6.073,1.0
210516147,67.324487,15.679089,13.2229996,1.0
210523204,67.374688,15.795028,12.8669996,1.0
210526118,67.432691,15.840519,12.0639992,1.0
210526155,67.433854,15.84101,12.6739998,1.0
210527150,67.294602,15.856832,13.4279995,1.0
210527844,67.611737,15.867891,13.3249998,1.0
210530506,67.572988,15.910273,13.0129995,1.0
210530923,67.514359,15.916923,12.7279997,1.0
210534962,67.21853,15.981596,11.6939993,1.0
210538454,67.610681,16.036404,13.3919992,1.0
210540701,67.466323,16.072029,13.4569998,1.0
210540725,67.483939,16.072324,12.9439993,1.0
210545633,67.694983,16.148696,6.835,1.0
210546296,67.249047,16.159097,6.8910003,1.0
210546988,67.108152,16.169791,13.9839993,1.0
210547060,67.590358,16.17071,13.783,1.0
210548567,67.640136,16.194012,5.2140002,1.0
210549008,67.048502,16.200665,12.7809992,1.0
210550109,67.171939,16.217414,13.059,1.0
210550303,67.024456,16.220726,12.6059999,1.0
210551925,67.379135,16.244782,10.3870001,1.0
210553737,67.483771,16.272284,13.4530001,1.0
210554781,67.211742,16.289022,10.5609999,1.0
210557142,67.332118,16.325121,12.9959993,1.0
210558200,67.683887,16.341178,13.5959997,1.0
210558541,67.250637,16.346338,13.5809994,1.0
210558585,67.123008,16.346947,11.7179995,1.0
210560195,67.432889,16.373012,13.4469995,1.0
210560885,67.229466,16.383735,11.9919996,1.0
210561006,67.502272,16.385598,11.4839993,1.0
210563555,67.677051,16.424088,13.2019997,1.0
210564850,66.994379,16.444339,13.4909992,1.0
210564954,67.007261,16.445811,13.4189997,1.0
210566152,66.815412,16.463869,13.0759993,1.0
210566619,67.045262,16.470933,10.9319992,1.0
210569285,66.823086,16.51114,10.3039999,1.0
210570127,67.222524,16.523573,13.2739992,1.0
210570760,67.005408,16.533598,13.9299994,1.0
210570890,66.92068,16.535612,13.4439993,1.0
210571072,67.304093,16.538233,13.8179998,1.0
210571819,67.78733,16.548927,12.8699999,1.0
210572775,67.690728,16.56274,12.3959999,1.0
210575809,66.864964,16.608884,11.9429998,1.0
210575895,66.985046,16.610019,12.9279995,1.0
210575985,67.317508,16.611619,12.6899996,1.0
210576347,67.357939,16.61694,12.0639992,1.0
210576994,67.302102,16.626616,13.3339996,1.0
210577267,67.351394,16.630529,12.2549992,1.0
210579804,67.423911,16.668095,13.3540001,1.0
210579945,67.27906,16.670238,11.3189993,1.0
210580123,67.49053,16.672839,9.2369995,1.0
