OBJID,RADEG,DECDEG,MAG0,PRI
201538819,163.357877,1.12,12.8280001,1.0
201539231,163.795538,1.126248,12.1149998,1.0
201539764,163.413652,1.1343,12.1440001,1.0
201541942,162.843743,1.167908,13.3779993,1.0
201542617,163.200109,1.177475,11.6919994,1.0
201542794,163.792225,1.180398,11.5479994,1.0
201543643,163.859697,1.192673,11.9649992,1.0
201543946,163.292206,1.197267,12.8209991,1.0
201544078,162.530047,1.199603,12.6959991,1.0
201544546,163.224504,1.206092,13.1019993,1.0
201546666,163.693364,1.236415,13.1519995,1.0
201547827,163.562216,1.254568,13.4519997,1.0
201547974,163.558391,1.256784,13.2509995,1.0
201548410,163.490126,1.262954,13.717,1.0
201548709,163.635537,1.267654,12.217,1.0
201550061,162.537077,1.288941,11.8129997,1.0
201550492,163.568318,1.295774,13.2379999,1.0
201553489,163.192124,1.340177,9.4839993,1.0
201554077,162.595783,1.348567,13.0629997,1.0
201556236,163.049619,1.380999,9.7739992,1.0
201556897,162.803524,1.390388,9.8789997,1.0
201557521,163.531106,1.40005,13.8739996,1.0
201559947,163.757906,1.4365,12.8369999,1.0
201560375,162.550196,1.442522,13.8319998,1.0
201562456,163.726664,1.473026,12.3799992,1.0
201562670,162.769713,1.476458,13.6359997,1.0
201563039,162.761685,1.481215,10.2999992,1.0
201563879,163.118317,1.493717,13.3719997,1.0
201564536,162.9297,1.503352,9.7139997,1.0
201564771,163.52051,1.506832,12.0309992,1.0
201566197,163.996436,1.527568,13.2649994,1.0
201567524,163.201226,1.54789,12.823,1.0
201568438,162.663788,1.561736,12.0179996,1.0
201569343,163.056393,1.575523,10.9299994,1.0
201569946,163.219098,1.584712,12.5639992,1.0
201571012,162.924161,1.600474,12.9049997,1.0
201572738,163.495856,1.626595,10.4239998,1.0
201573709,162.987263,1.641832,12.4749994,1.0
201575791,163.525826,1.672561,13.0509996,1.0
201576084,162.893,1.676591,13.8249998,1.0
201576190,162.745877,1.67842,12.7189999,1.0
201576419,163.804075,1.68201,10.2019997,1.0
201577326,162.519237,1.694952,13.3379993,1.0
201577373,162.559327,1.695598,12.0539999,1.0
201577615,163.554866,1.699273,13.0759993,1.0
201577752,163.725622,1.701453,12.1089993,1.0
201578537,163.136306,1.713325,12.882,1.0
201579069,163.792535,1.720998,12.9860001,1.0
201579219,163.15162,1.723519,13.6049995,1.0
201579764,163.076561,1.731792,12.2879992,1.0
201580525,163.185483,1.743194,9.5079994,1.0
201580563,163.681453,1.743719,12.1519995,1.0
201581896,163.473592,1.763115,12.8459997,1.0
201581930,163.472516,1.763629,12.6959991,1.0
201582505,163.572848,1.773075,13.3289995,1.0
201584396,163.247919,1.802042,12.9279995,1.0
201584941,162.957212,1.810726,13.3739996,1.0
