OBJID,RADEG,DECDEG,MAG0,PRI
212267079,208.061676,-18.6034336,13.7069998,1.0
212269706,207.9297791,-18.5088615,12.4469995,1.0
212269730,207.9634705,-18.5082226,13.776,1.0
212270293,206.9981689,-18.4870453,13.2469997,1.0
212270340,207.0595856,-18.4848442,11.4139996,1.0
212270380,206.9522552,-18.4835281,13.5450001,1.0
212270573,206.9658051,-18.4766178,13.4719992,1.0
212270583,207.5530243,-18.4762173,12.9649992,1.0
212270746,206.8377533,-18.4704247,13.9329996,1.0
212270773,207.3906708,-18.4694481,11.6169996,1.0
212270813,206.9646912,-18.4675179,13.9499998,1.0
212270839,206.8602142,-18.4666481,13.7719994,1.0
212270861,207.9585724,-18.4659672,12.2159996,1.0
212270936,206.961441,-18.4632797,12.5639992,1.0
212270970,207.7914886,-18.4617271,13.7519999,1.0
212271048,207.9669189,-18.458807,13.4949999,1.0
212271573,207.4736328,-18.4409904,12.8329992,1.0
212271587,206.7364655,-18.4404583,11.4819994,1.0
212271638,207.5374603,-18.4391556,13.6040001,1.0
212271691,206.5461884,-18.4370461,13.2749996,1.0
212271980,206.8977661,-18.4263058,11.6639996,1.0
212272030,207.7011719,-18.4246616,13.8549995,1.0
212272037,206.4697571,-18.4245586,13.7449999,1.0
212272120,207.5522919,-18.4217281,12.2129993,1.0
212272283,207.6372986,-18.4154072,10.6529999,1.0
212272379,207.1157074,-18.4121666,13.4119997,1.0
212272590,208.0347595,-18.4047546,10.2539997,1.0
212272807,207.3822327,-18.3977509,11.3129997,1.0
212272872,207.60289,-18.3951416,13.0199995,1.0
212273312,206.5441284,-18.3801422,11.7989998,1.0
212273378,207.3658142,-18.3781395,13.5089998,1.0
212273454,207.1369934,-18.3754196,12.3639994,1.0
212273572,207.7771149,-18.3713131,12.7249994,1.0
212273930,207.337677,-18.3573246,13.0319996,1.0
212273934,207.8897705,-18.3571434,9.4449997,1.0
212274426,206.9114685,-18.3407211,13.7669992,1.0
212274641,206.8741302,-18.3333931,13.3259993,1.0
212274652,207.5270386,-18.3329964,13.0049992,1.0
212274832,207.7921295,-18.3265114,13.1659994,1.0
212275025,205.9283447,-18.3193302,13.1859999,1.0
212275033,207.9430847,-18.3189754,13.5039997,1.0
212275087,207.9970398,-18.3172188,12.3379993,1.0
212275188,207.9449158,-18.3137264,13.2779999,1.0
212275195,207.8135071,-18.3135033,12.0379992,1.0
212275224,207.9465027,-18.3126602,10.665,1.0
212275294,208.0511475,-18.3100662,13.7889996,1.0
212275301,206.8538055,-18.3098698,8.8549995,1.0
212275451,206.3910522,-18.3044147,11.599,1.0
212275471,206.2434845,-18.3037834,13.9499998,1.0
212275876,207.1918182,-18.2901917,13.5780001,1.0
212276014,206.0033264,-18.2854252,12.8299999,1.0
212276317,206.4312744,-18.2755127,11.427,1.0
212276385,207.2658844,-18.2732639,12.9539995,1.0
212276489,207.661911,-18.2695618,12.2939997,1.0
212276579,206.7638245,-18.2663956,13.9790001,1.0
212276665,205.1424561,-18.2631779,13.948,1.0
