OBJID,RADEG,DECDEG,MAG0,PRI
202061312,103.67848,24.24561,7.3000002,1.0
202062417,97.62064,19.2854,9.1999998,1.0
202062419,95.36544,17.29458,9.5999994,1.0
202062450,95.86417,14.54639,11.1999998,1.0
202062480,91.10862,21.36527,11.2999992,1.0
202059229,101.69016,15.96158,12.0,1.0
202060145,91.97746,22.23256,12.3999996,1.0
202064447,98.82917,21.29667,11.6999998,1.0
202062533,91.2828,22.35103,12.0999994,1.0
202062552,90.47365,22.99318,12.0,1.0
202059204,96.56052,23.82682,12.1999998,1.0
202064516,101.20785,24.30269,13.5999994,1.0
202103739,97.57403,26.26516,13.0999994,1.0
202105721,104.31578,26.27859,13.0,1.0
202103729,91.08973,21.25881,13.0,1.0
202059183,91.17578,22.32291,13.6999998,1.0
202059190,92.8896,19.40836,13.2999992,1.0
202059192,93.29206,17.60175,13.5,1.0
202059193,93.45296,26.78864,12.8999996,1.0
202059197,95.0637,17.10689,12.6999998,1.0
202059198,95.40335,16.3095,12.0,1.0
202059199,95.43384,16.3223,13.0,1.0
202059204,96.56052,23.82682,12.1999998,1.0
202059207,97.02798,18.93965,12.6999998,1.0
202059208,97.12827,24.39393,12.5999994,1.0
202059210,97.28965,28.36168,12.2999992,1.0
202059215,99.27476,27.19366,13.3999996,1.0
202059221,100.02291,28.58634,12.5999994,1.0
202059224,100.38805,21.18395,13.7999992,1.0
202059229,101.69016,15.96158,12.0,1.0
202059231,102.22991,21.13419,13.8999996,1.0
202059243,105.19223,19.99905,12.6999998,1.0
202126823,99.726775,15.658947,12.9139996,1.0
202126825,105.66026,19.466551,13.4889994,1.0
202120526,100.66599,15.82358,13.7999992,1.0
202113592,101.68518,15.97631,13.6999998,1.0
202126829,101.543608,17.053471,13.9899998,1.0
202102928,100.50526,27.0093,12.2999992,1.0
202126847,102.201296,17.161909,12.8189993,1.0
202126849,99.898,25.482536,13.9659996,1.0
202126852,100.848071,27.252287,11.2659998,1.0
202126853,104.703271,19.19302,12.0599995,1.0
202126854,100.474944,16.366957,12.5529995,1.0
202126856,100.320114,17.267307,13.5669994,1.0
202126862,99.81879,15.903822,12.6449995,1.0
202126863,105.565507,18.772539,12.4949999,1.0
202126864,105.61144,19.493389,13.0459995,1.0
202126866,100.264806,16.891672,13.1359997,1.0
202126867,105.568233,18.776281,13.2079992,1.0
202126877,97.980124,25.482098,11.4189997,1.0
202126878,95.412344,24.977808,12.6539993,1.0
202122545,98.09915,25.11887,13.6999998,1.0
202126880,95.434241,25.845688,13.3639994,1.0
202086286,99.68085,26.56611,11.8999996,1.0
202103762,102.93668,25.93092,13.5999994,1.0
202126884,96.679184,25.20496,12.7290001,1.0
202126887,99.380542,26.786545,13.4299994,1.0
202126888,98.047509,27.219776,13.941,1.0
202065234,95.36249,24.81296,12.3999996,1.0
202065297,101.16264,28.92403,13.8999996,1.0
202065323,103.12577,24.18854,10.7999992,1.0
202065337,103.58738,24.22414,11.0999994,1.0
202061353,92.22217,23.80779,10.1999998,1.0
202062472,101.00417,22.74214,12.7999992,1.0
202064516,101.20785,24.30269,13.5999994,1.0
202064532,104.22917,24.75,10.5999994,1.0
202064534,104.4375,25.20833,11.5999994,1.0
202064535,97.69583,27.47333,11.6999998,1.0
202064539,92.66667,20.42333,13.6999998,1.0
202064541,95.68333,18.53147,12.5,1.0
202060091,95.86891,20.39212,9.4719992,1.0
202060092,95.74264,22.8628,9.6999998,1.0
202060093,94.92353,23.28896,9.7989998,1.0
202061263,90.78675,23.78992,12.1999998,1.0
202126997,100.43338,15.39945,10.7999992,1.0
202126998,99.9065,15.35497,11.0,1.0
202126999,99.339,15.06434,10.8999996,1.0
202127012,99.23392,15.4532,9.8999996,1.0
202127013,100.30403,15.8585,9.8999996,1.0
202127014,99.4099,14.99905,12.3999996,1.0
202127024,100.31962,15.80102,12.1999998,1.0
202127027,99.24279,14.87745,12.1999998,1.0
202127030,98.93025,15.05801,12.3999996,1.0
202127044,100.64789,15.12901,9.5,1.0
202127046,100.14003,15.5686,10.6999998,1.0
202127048,100.3379,15.68822,12.1999998,1.0
202127052,99.74,15.68265,12.8999996,1.0
202127064,99.74467,15.79153,12.2999992,1.0
202127065,100.54608,15.60106,11.8999996,1.0
202127069,98.6638,15.12161,11.8999996,1.0
202127074,98.89722,15.20178,11.7999992,1.0
202127080,100.78277,15.02424,12.7999992,1.0
202127084,99.05336,15.36823,12.5999994,1.0
202127093,100.32134,15.56488,12.0,1.0
202127095,100.34864,15.83842,11.3999996,1.0
202127096,99.2624,15.68339,11.3999996,1.0
202127099,98.91679,15.17431,11.8999996,1.0
202127101,99.29439,15.77366,10.3999996,1.0
202127102,100.03151,15.88466,11.7999992,1.0
202127106,100.58734,15.25793,10.2999992,1.0
202127109,100.64639,15.25488,11.3999996,1.0
202127112,100.52826,15.29428,12.2999992,1.0
202127122,99.24025,15.34277,10.5999994,1.0
202127123,99.10269,15.26791,10.5,1.0
202127125,99.71321,14.87731,10.8999996,1.0
202127134,98.85465,14.69985,10.7999992,1.0
202127138,99.04172,15.04139,12.3999996,1.0
202127141,98.75166,15.14599,12.6999998,1.0
202127142,99.03152,14.96646,12.5,1.0
202127147,99.05016,15.23951,9.5,1.0
202127155,98.92875,14.75404,12.0,1.0
202127156,98.87783,14.83192,12.1999998,1.0
202127157,100.54069,15.15594,11.6999998,1.0
202127163,100.61109,15.48337,12.5,1.0
202127165,99.5655,15.20366,12.2999992,1.0
202127167,99.1849,15.49602,10.6999998,1.0
202127172,100.12954,15.6295,11.6999998,1.0
202127175,100.31231,15.27022,12.3999996,1.0
202127176,99.27425,15.38305,10.0,1.0
202127182,100.15509,15.64521,11.5,1.0
202127184,99.65706,15.90207,11.3999996,1.0
202127185,100.62028,15.44737,11.3999996,1.0
202127190,99.93745,15.31749,12.7999992,1.0
202127191,99.79671,15.47186,11.3999996,1.0
202127197,102.52967,17.09643,13.0999994,1.0
202127199,102.10277,17.44705,11.7999992,1.0
202127210,102.58278,16.83287,13.1999998,1.0
202127212,102.93338,17.12677,13.5999994,1.0
202127214,103.30209,17.58328,12.5999994,1.0
202127217,103.61144,15.57583,11.7999992,1.0
202127218,102.41878,17.52049,11.7999992,1.0
202127223,102.21606,16.26104,12.6999998,1.0
202127224,102.46185,16.27831,13.0999994,1.0
202127226,102.09786,16.18708,13.2999992,1.0
202127227,103.45393,16.15387,12.7999992,1.0
202127228,102.92938,15.70347,13.6999998,1.0
202127229,103.47377,15.49645,12.1999998,1.0
202127230,101.99292,16.19936,13.2999992,1.0
202127236,103.07634,15.68384,12.2999992,1.0
202127238,103.32036,15.73325,11.5999994,1.0
202127240,102.36877,17.10717,10.8999996,1.0
202127242,103.57348,15.63899,12.0999994,1.0
202127244,103.27077,17.06835,10.8999996,1.0
202127246,103.26612,16.92104,12.2999992,1.0
202127248,103.35501,17.58489,9.8999996,1.0
202127249,102.66312,16.08405,11.5999994,1.0
202127250,102.26535,16.50496,11.5999994,1.0
202127252,102.65788,17.09839,13.2999992,1.0
202127254,102.65027,15.75352,12.1999998,1.0
202127255,102.87668,16.05413,11.5999994,1.0
202127256,102.81128,17.42396,12.1999998,1.0
202127257,102.86586,17.16154,10.8999996,1.0
202127260,102.83448,16.40217,13.2999992,1.0
202127262,102.64862,17.03152,9.8999996,1.0
202127265,103.19941,15.45977,10.5999994,1.0
202127270,102.48732,16.57278,13.0,1.0
202127273,102.8917,15.62508,13.3999996,1.0
202127274,101.90142,16.55559,9.6999998,1.0
202127275,103.23125,16.41586,9.5,1.0
202127279,102.2698,16.91934,11.5,1.0
202127281,102.15663,16.83224,11.2999992,1.0
202098796,102.57678,16.3069,13.6999998,1.0
202127286,102.64308,16.39747,9.7999992,1.0
202127287,102.74375,17.2585,11.7999992,1.0
202127295,103.44336,15.90175,11.2999992,1.0
202127299,103.45844,16.23818,12.5,1.0
202127300,103.31541,16.93823,13.7999992,1.0
202127302,101.9289,16.88138,12.5,1.0
202127303,103.20137,16.16771,12.5999994,1.0
202127304,102.30306,16.50441,12.8999996,1.0
202127310,101.92175,16.5916,11.3999996,1.0
