OBJID,RADEG,DECDEG,MAG0,PRI
211301344,134.119357,9.87261,13.9389992,1.0
211301433,133.902227,9.874564,12.434,1.0
211301456,133.471636,9.874989,12.2079992,1.0
211301689,133.858973,9.87966,9.651,1.0
211302061,133.435797,9.887154,12.4589996,1.0
211302183,133.77905,9.889767,13.4119997,1.0
211302193,132.725296,9.890136,12.8859997,1.0
211302521,132.618232,9.897442,12.9809999,1.0
211302817,132.602555,9.903563,13.21,1.0
211302881,132.715051,9.904596,13.4549999,1.0
211302959,134.132407,9.906382,13.4759998,1.0
211303246,132.45101,9.913009,12.849,1.0
211303326,132.344498,9.914886,10.7809992,1.0
211304005,133.678811,9.929255,13.3479996,1.0
211304154,131.847201,9.93233,13.1110001,1.0
211304198,133.877482,9.933364,12.0469999,1.0
211304376,132.866014,9.937281,12.2939997,1.0
211304412,132.664317,9.938141,12.7290001,1.0
211304446,133.525779,9.938773,10.4959993,1.0
211304763,132.801357,9.945239,12.8239994,1.0
211305029,133.195012,9.951133,13.0319996,1.0
211305143,129.767911,9.953665,12.04,1.0
211305171,132.764379,9.954148,11.8959999,1.0
211305197,131.913544,9.954683,13.5369997,1.0
211305461,129.86277,9.960252,12.1539993,1.0
211305487,130.501425,9.960945,12.3969994,1.0
211305600,131.805201,9.963297,13.7989998,1.0
211305806,129.403025,9.967024,13.2929993,1.0
211305895,133.096182,9.969266,12.5579996,1.0
211305926,128.939171,9.969975,12.7929993,1.0
211305959,129.854495,9.970499,13.4519997,1.0
211306064,132.325342,9.97281,13.2409992,1.0
211306195,132.708054,9.975606,13.3479996,1.0
211306307,128.980084,9.977635,11.5009995,1.0
211306478,132.62603,9.981174,12.9530001,1.0
211306742,130.584889,9.986476,13.2539997,1.0
211306754,130.229731,9.986634,9.5899992,1.0
211306893,127.69262,9.990236,13.3469992,1.0
211306930,130.283063,9.991052,10.691,1.0
211307080,126.537029,9.994119,13.4439993,1.0
211307091,126.537599,9.994316,12.0579996,1.0
211307095,127.123339,9.994407,13.2349997,1.0
211307165,129.157764,9.995712,11.6069994,1.0
211307406,130.22832,10.000219,11.9779997,1.0
211307408,133.010655,10.000233,12.7979994,1.0
211307414,134.054484,10.000387,12.4969997,1.0
211307434,130.097839,10.000826,13.743,1.0
211307478,127.121483,10.001878,13.7799997,1.0
211307604,128.921471,10.004399,12.1009998,1.0
211307639,128.105303,10.004986,11.3479996,1.0
211307670,130.615169,10.005586,13.8599997,1.0
211307684,127.719656,10.005881,13.1040001,1.0
211307745,127.440801,10.006903,13.3989992,1.0
211307827,126.035408,10.008924,12.132,1.0
211307849,127.762705,10.00941,9.6809998,1.0
211307894,127.7618,10.010397,9.5219994,1.0
211307947,133.061723,10.011443,11.5309992,1.0
211307976,129.413174,10.012156,12.3359995,1.0
211307994,128.213664,10.012686,12.1499996,1.0
211308100,127.347245,10.014512,10.9129992,1.0
211308371,133.938458,10.019472,11.3989992,1.0
