OBJID,RADEG,DECDEG,MAG0,PRI
201121245,176.828097,-6.003705,11.5120001,1.0
201124136,176.324712,-5.931954,12.6409998,1.0
201126489,176.398739,-5.873429,12.5959997,1.0
201127270,175.999773,-5.854173,10.6499996,1.0
201127502,176.261405,-5.848578,11.4039993,1.0
201129520,176.219244,-5.799554,12.4019995,1.0
201129856,176.408932,-5.7912,13.1379995,1.0
201130184,176.75029,-5.782962,12.9389992,1.0
201131749,175.480062,-5.743736,11.6709995,1.0
201132121,175.926117,-5.735467,12.6229992,1.0
201132518,175.409092,-5.726343,13.7979994,1.0
201132737,175.624533,-5.720505,11.349,1.0
201132839,174.952295,-5.717931,13.2969999,1.0
201133147,175.480721,-5.710555,13.9049997,1.0
201133233,175.773431,-5.708825,12.0689993,1.0
201134157,176.093729,-5.686344,13.3909998,1.0
201134185,175.813833,-5.685673,13.9839993,1.0
201134718,176.152991,-5.671723,13.934,1.0
201134797,176.723554,-5.669894,13.9049997,1.0
201135311,175.101472,-5.655876,13.698,1.0
201135396,176.757069,-5.653457,12.9869995,1.0
201135864,175.530773,-5.641599,13.4860001,1.0
201136194,175.627007,-5.632796,10.1159992,1.0
201136622,174.84371,-5.62241,13.2839994,1.0
201138049,175.72927,-5.587227,12.2229996,1.0
201138638,174.788027,-5.572149,13.9749994,1.0
201138736,174.757117,-5.569884,12.7839994,1.0
201140083,176.151216,-5.536432,11.3199997,1.0
201140663,174.892133,-5.522499,12.4839993,1.0
201140757,173.959121,-5.52021,12.5339994,1.0
201142023,173.76436,-5.489326,12.3399992,1.0
201142064,176.165528,-5.488254,13.658,1.0
201142176,174.900122,-5.485727,13.4939995,1.0
201142448,175.889209,-5.479505,13.5829992,1.0
201142477,174.579557,-5.47861,13.1849995,1.0
201142781,174.507411,-5.470156,13.2719994,1.0
201143243,176.882552,-5.458699,10.21,1.0
201144347,175.633348,-5.430948,13.4869995,1.0
201144407,174.864517,-5.429186,12.8209991,1.0
201144607,176.605396,-5.424271,13.026,1.0
201145715,175.781661,-5.396772,13.8589993,1.0
201146022,175.137605,-5.38961,10.3559999,1.0
201146047,175.013292,-5.389209,13.9169998,1.0
201146153,175.663603,-5.386971,12.9069996,1.0
201146327,174.802988,-5.382627,11.809,1.0
201146489,173.432192,-5.378735,13.6159992,1.0
201146803,173.900922,-5.371366,13.8919992,1.0
201146961,172.902627,-5.367713,13.3829994,1.0
201147132,174.779104,-5.363538,12.7819996,1.0
201147180,176.874561,-5.362365,11.1309996,1.0
201147512,173.683688,-5.35415,11.7739992,1.0
201147711,176.587867,-5.348893,9.3259993,1.0
201147804,173.51435,-5.346594,12.151,1.0
201148252,173.901347,-5.335443,13.9919996,1.0
201148598,175.606991,-5.326969,13.5319996,1.0
201148819,175.903207,-5.321696,12.9989996,1.0
201149394,176.557212,-5.309401,12.7529993,1.0
201150103,173.301853,-5.292567,12.3099995,1.0
201150552,173.224929,-5.282751,9.625,1.0
201150637,173.511171,-5.280891,12.2179995,1.0
201150706,173.344437,-5.278935,11.3949995,1.0
201151359,176.881091,-5.26362,8.9659996,1.0
201151426,176.750202,-5.261715,11.8659992,1.0
201152103,172.105754,-5.24638,12.8179998,1.0
201152399,175.306713,-5.239092,13.1599998,1.0
201152511,176.458621,-5.236288,11.7629995,1.0
201152590,175.816726,-5.234171,12.0489998,1.0
201153157,173.90399,-5.220189,10.7539997,1.0
201153208,175.841552,-5.219037,12.4819994,1.0
201153232,176.091719,-5.218529,10.2369995,1.0
201153290,175.104051,-5.217423,10.6869993,1.0
201153558,173.429639,-5.210863,12.5699997,1.0
201153758,174.04605,-5.206649,13.1679993,1.0
201153764,172.485388,-5.206567,13.6700001,1.0
201153824,176.192906,-5.205452,13.2089996,1.0
201154432,171.916323,-5.190468,11.5709991,1.0
201154827,176.884877,-5.179839,10.6589994,1.0
201154853,171.82177,-5.179376,12.8519993,1.0
201154950,173.16955,-5.17678,12.8369999,1.0
201154959,173.391224,-5.176524,13.7839994,1.0
201155649,172.084852,-5.161106,11.5809994,1.0
201155672,176.145259,-5.16053,13.9449997,1.0
201155959,175.132842,-5.153221,10.4309998,1.0
201156697,175.173762,-5.13579,12.9879999,1.0
201156737,172.555121,-5.135126,13.5679998,1.0
201157462,171.770995,-5.117346,13.2979994,1.0
201158097,173.162263,-5.102446,10.7589998,1.0
201158193,175.660437,-5.100076,11.1389999,1.0
201158501,172.478729,-5.092727,12.6299992,1.0
201158751,176.722998,-5.086483,12.7989998,1.0
201159088,175.772965,-5.078063,12.125,1.0
201159223,175.335965,-5.074898,12.6419992,1.0
201159224,175.416468,-5.074897,13.599,1.0
201159426,175.214758,-5.069778,13.9530001,1.0
201159735,175.258762,-5.062723,12.4699993,1.0
201159747,172.476991,-5.06255,12.967,1.0
201159953,173.985667,-5.057719,9.8769999,1.0
201160064,171.739973,-5.054968,13.8280001,1.0
201160215,175.542678,-5.051428,11.5939999,1.0
201160334,171.86876,-5.048514,10.5409994,1.0
201160662,174.997788,-5.040235,12.5219994,1.0
201160696,173.484859,-5.039429,13.0739994,1.0
201160813,171.153686,-5.036767,13.6529999,1.0
201160864,174.093185,-5.035778,11.8949995,1.0
201160952,171.874692,-5.033609,12.809,1.0
201161164,172.009589,-5.028898,13.6519995,1.0
201161185,176.745385,-5.028629,12.7419996,1.0
201161403,175.826562,-5.023434,12.5229998,1.0
201161685,175.189421,-5.016266,11.8099995,1.0
201161811,176.353688,-5.013621,13.4809999,1.0
201161898,173.005403,-5.011776,11.1079998,1.0
201162154,173.982858,-5.005734,12.1879997,1.0
201162436,172.412934,-4.998885,13.3309994,1.0
201162663,171.757626,-4.992656,12.7419996,1.0
201162665,175.758857,-4.992617,10.6709995,1.0
201162779,175.808574,-4.989894,12.0169992,1.0
201162784,170.672217,-4.989722,13.276,1.0
201162873,176.109716,-4.987817,13.059,1.0
201162929,176.960792,-4.986242,10.2969999,1.0
201162999,174.915821,-4.984468,9.2189999,1.0
201163267,175.828819,-4.978354,10.059,1.0
201163299,171.021616,-4.977779,13.2639999,1.0
201163527,175.656748,-4.972576,13.1519995,1.0
201164031,174.983106,-4.960814,8.9689999,1.0
201164295,173.688744,-4.954423,8.8319998,1.0
201164343,170.674305,-4.953431,13.4119997,1.0
201164418,176.325627,-4.951824,12.026,1.0
201164548,171.786777,-4.94842,12.9889994,1.0
201164586,175.038612,-4.947606,11.0639992,1.0
201164640,172.001121,-4.946376,12.6339998,1.0
201164770,173.866899,-4.943563,12.8559999,1.0
201165269,173.779842,-4.932475,12.7489996,1.0
201165279,174.609816,-4.932191,10.8329992,1.0
201165329,173.776676,-4.930778,12.5299997,1.0
201165694,172.050783,-4.921783,10.7199993,1.0
201165730,172.859694,-4.920553,11.8759995,1.0
201166446,173.349503,-4.904681,12.3699999,1.0
201166590,174.635554,-4.901342,11.4919996,1.0
201166939,173.812719,-4.89224,12.8239994,1.0
201166998,170.215887,-4.890969,12.0599995,1.0
201167089,173.569489,-4.888823,11.2199993,1.0
201167141,174.891978,-4.88744,11.2969999,1.0
201167435,170.109717,-4.880514,11.3299999,1.0
201167767,172.046091,-4.872467,12.3829994,1.0
201167905,173.130418,-4.869399,13.9769993,1.0
201168216,170.824341,-4.860773,10.5709991,1.0
201168320,169.848085,-4.858215,12.4699993,1.0
201168348,172.468774,-4.85751,11.4229994,1.0
201168433,174.927176,-4.855409,11.5549994,1.0
201168478,176.055175,-4.854541,13.7119999,1.0
201168813,175.527404,-4.845685,13.8789997,1.0
201169026,175.411534,-4.840458,13.6919994,1.0
201169086,173.577275,-4.838616,13.0699997,1.0
201169229,173.592203,-4.835127,13.2399998,1.0
201169465,174.9943,-4.829548,13.2649994,1.0
201169959,176.122299,-4.817557,13.5569992,1.0
201169978,175.6928,-4.817159,13.8969994,1.0
201170217,171.115231,-4.811334,12.8940001,1.0
201170301,170.365429,-4.809588,13.8069992,1.0
201170396,176.017025,-4.807251,8.559,1.0
201170713,173.634807,-4.79988,12.5909996,1.0
201170884,169.89009,-4.795989,12.2559996,1.0
201170894,173.695944,-4.795713,12.1919994,1.0
201171158,175.470418,-4.788939,12.3789997,1.0
201171401,171.831967,-4.783262,13.132,1.0
201171432,173.466591,-4.782576,8.6859999,1.0
