OBJID,RADEG,DECDEG,MAG0,PRI
211390956,137.03348,11.499193,11.158,1.0
211393018,136.690289,11.533407,12.4659996,1.0
211393582,136.906793,11.542581,12.0739994,1.0
211394406,136.204178,11.555243,9.684,1.0
211394640,137.423454,11.5591,11.9949999,1.0
211394764,137.328227,11.56091,12.4579992,1.0
211394991,137.443434,11.564377,6.8730001,1.0
211395048,136.096659,11.565262,13.8779993,1.0
211395369,136.070948,11.570236,12.7969999,1.0
211395494,136.239922,11.572482,9.2609997,1.0
211395931,135.897717,11.579244,13.5649996,1.0
211396055,137.277225,11.581205,11.0219994,1.0
211396283,135.278892,11.584533,12.927,1.0
211396431,137.115953,11.586634,12.1669998,1.0
211396504,136.432829,11.587655,13.3469992,1.0
211396707,135.977654,11.590425,13.9469995,1.0
211397019,135.857695,11.595039,13.3499994,1.0
211397097,137.112027,11.596363,11.3689995,1.0
211397538,136.62355,11.603174,9.9609995,1.0
211397763,134.614738,11.60646,12.5629997,1.0
211397787,136.866212,11.606712,10.9969997,1.0
211397814,136.867466,11.607102,12.5709991,1.0
211397844,135.363976,11.607637,13.6919994,1.0
211397909,135.254138,11.608432,11.8449993,1.0
211398031,135.912655,11.610581,13.2039995,1.0
211398115,136.810028,11.61169,12.4719992,1.0
211398382,136.476922,11.615897,12.1289997,1.0
211398941,134.42956,11.624461,12.2489996,1.0
211399408,137.269521,11.631482,13.1009998,1.0
211399448,135.359376,11.632074,13.1149998,1.0
211400080,136.016669,11.641697,13.0229998,1.0
211400082,136.470459,11.641714,11.9179993,1.0
211400196,135.896008,11.643298,12.7869997,1.0
211400372,134.56008,11.646018,12.46,1.0
211400445,134.269524,11.646989,10.2009993,1.0
211400808,135.970276,11.652311,13.3549995,1.0
211401079,134.090347,11.656307,12.8809996,1.0
211401302,135.567011,11.659519,12.5059996,1.0
211401664,133.283227,11.665514,12.5179996,1.0
211401937,134.565551,11.669973,12.5149994,1.0
211401995,136.383488,11.670883,11.8579998,1.0
211402252,136.403359,11.675077,13.6389999,1.0
211402398,135.400559,11.677572,12.3429995,1.0
211402436,133.248515,11.678151,12.8899994,1.0
211402742,133.252532,11.683366,10.6269999,1.0
211403083,137.118347,11.688641,12.5879993,1.0
211403091,133.549892,11.688754,13.2219992,1.0
211403194,133.675117,11.690279,13.7749996,1.0
211403198,137.178051,11.690308,12.6219997,1.0
211403248,133.109706,11.691019,12.7059994,1.0
211403320,133.503232,11.691928,11.0479994,1.0
211403356,132.486754,11.692479,10.1199999,1.0
211403555,132.789612,11.695837,13.1389999,1.0
211403935,135.820855,11.702089,12.7329998,1.0
211403974,132.618051,11.702723,13.3829994,1.0
211404027,134.441457,11.703482,11.6529999,1.0
211404208,133.721608,11.706188,9.743,1.0
211404364,133.069387,11.708321,13.8280001,1.0
211404578,136.137026,11.711549,12.2069998,1.0
211404594,131.67811,11.711848,13.6739998,1.0
211404684,131.743152,11.713178,12.8359995,1.0
211404980,133.741966,11.717617,13.9039993,1.0
211405091,131.244422,11.719077,13.3259993,1.0
211405094,132.428707,11.719106,13.1569996,1.0
211405262,132.650557,11.72169,13.0629997,1.0
211405345,137.347873,11.722941,12.7479992,1.0
211405388,133.07787,11.723501,13.0289993,1.0
211405419,135.908363,11.723978,10.5749998,1.0
211405649,131.732452,11.727347,11.1489992,1.0
211405745,130.693773,11.729245,13.9359999,1.0
211405790,137.033817,11.729848,13.4129992,1.0
211405828,137.199444,11.730383,12.8009996,1.0
211405988,132.502426,11.732731,11.276,1.0
211406041,131.357705,11.733316,11.7999992,1.0
211406112,131.741398,11.734385,12.0819998,1.0
211406138,133.873894,11.734773,11.9489994,1.0
211406144,132.353807,11.734908,12.3659992,1.0
211406402,136.020556,11.738632,12.8079996,1.0
211406438,136.39238,11.739286,12.8079996,1.0
211406540,133.077388,11.74066,10.6040001,1.0
211407035,132.385915,11.748631,11.8899994,1.0
211407363,135.209009,11.753742,13.8429995,1.0
211407665,130.954682,11.75816,11.8169994,1.0
211407666,132.819573,11.758165,12.6739998,1.0
211407746,136.162154,11.759246,13.0279999,1.0
211407778,135.851888,11.75959,12.7030001,1.0
211407836,133.047291,11.760538,13.1449995,1.0
211407852,136.774433,11.760778,13.7089996,1.0
211407857,133.781842,11.760837,12.1989994,1.0
211408015,132.763573,11.763168,13.0529995,1.0
211408116,132.83843,11.764649,12.592,1.0
211408138,132.824965,11.765055,13.1399994,1.0
211408337,131.153998,11.768118,10.5209999,1.0
211408339,132.316436,11.768203,13.007,1.0
211408352,136.717847,11.768472,13.1229992,1.0
211408377,136.275373,11.768913,12.8599997,1.0
211408492,136.399581,11.770831,13.2019997,1.0
211408662,130.034755,11.772938,11.8239994,1.0
211408851,135.445907,11.775912,11.1619997,1.0
211408858,132.900042,11.775989,13.0149994,1.0
211409088,132.936412,11.779443,13.217,1.0
211409178,133.875249,11.780919,13.0079994,1.0
211409299,130.925501,11.782618,12.3509998,1.0
211409345,132.832948,11.78344,12.559,1.0
211409376,132.827865,11.784082,12.7179995,1.0
211409516,130.915542,11.786014,11.7249994,1.0
211409560,132.784937,11.786702,12.6669998,1.0
211409604,133.655031,11.787142,9.9139996,1.0
211409644,132.849189,11.787791,12.5639992,1.0
211409722,131.375551,11.788868,12.974,1.0
211409921,133.594097,11.791416,13.8979998,1.0
211409996,134.358242,11.792518,13.1859999,1.0
211410192,136.008295,11.795368,11.8369999,1.0
211410386,130.734729,11.798259,12.8509998,1.0
211410542,131.005765,11.800726,13.9179993,1.0
211410665,134.355407,11.802458,12.7729998,1.0
211410757,133.282202,11.80357,13.9849997,1.0
211410778,133.666349,11.803854,13.0499992,1.0
211410882,134.678347,11.80544,11.9619999,1.0
211410912,135.208027,11.805799,12.8469992,1.0
211411112,132.612448,11.808697,13.8049994,1.0
211411253,132.431077,11.81076,11.1159992,1.0
211411324,130.764334,11.811706,12.9639997,1.0
211411505,132.488035,11.814241,11.8969994,1.0
211411508,132.888425,11.814256,13.0709991,1.0
211411553,133.234386,11.814967,12.7199993,1.0
211411632,133.815867,11.816198,13.4099998,1.0
211411639,129.862369,11.816339,12.427,1.0
211411679,134.397464,11.816729,10.7719994,1.0
211411704,130.941602,11.81712,13.1809998,1.0
211411753,136.427412,11.817795,12.7419996,1.0
211411891,136.495718,11.819727,13.1759996,1.0
211411922,132.708114,11.820204,13.2399998,1.0
211411990,133.920085,11.821446,13.2179995,1.0
211412077,132.827257,11.822629,12.9469995,1.0
211412092,129.738438,11.822828,10.415,1.0
211412196,137.290496,11.824447,10.7839994,1.0
211412221,133.349534,11.824831,13.8409996,1.0
211412252,132.958121,11.82532,13.0169992,1.0
211412258,129.743039,11.825378,13.401,1.0
211412310,136.776151,11.826317,12.7969999,1.0
211412345,134.111609,11.82683,12.7699995,1.0
211412429,129.668813,11.828074,13.9289999,1.0
211412449,130.981001,11.828296,12.3399992,1.0
211412576,136.171353,11.830114,13.5409994,1.0
211412587,132.849078,11.830382,11.7189999,1.0
211412604,135.918337,11.830538,10.8889999,1.0
211412634,135.709531,11.831159,11.5839996,1.0
211412749,129.672799,11.832909,11.3799992,1.0
211412822,136.827198,11.833978,11.2909994,1.0
211412839,132.883939,11.834337,13.0099993,1.0
211412848,132.913472,11.834393,12.6209993,1.0
211412877,132.905854,11.8348,12.941,1.0
211412941,137.340612,11.835702,13.1879997,1.0
211413023,135.783728,11.836837,10.6009998,1.0
211413024,129.618104,11.836837,12.3959999,1.0
211413064,132.983822,11.837441,13.1239996,1.0
211413300,129.388158,11.841101,12.3149996,1.0
211413430,132.442115,11.843099,12.415,1.0
211413478,132.806691,11.843901,12.448,1.0
211413515,132.88574,11.844613,12.6659994,1.0
211413522,131.198947,11.844732,13.3519993,1.0
211413537,133.089153,11.844945,12.967,1.0
211413737,136.689448,11.847875,13.2299995,1.0
211413752,133.709545,11.848265,13.9389992,1.0
211413876,131.360668,11.850235,11.9319992,1.0
211413963,135.695609,11.851598,13.2059994,1.0
211414061,129.810662,11.853059,12.2219992,1.0
211414081,132.951356,11.853301,12.8469992,1.0
211414089,134.124323,11.853492,13.0489998,1.0
211414121,136.503089,11.8539,11.0749998,1.0
211414203,132.828219,11.855187,13.3079996,1.0
211414248,129.836264,11.855757,11.8999996,1.0
211414329,132.551269,11.8568,8.934,1.0
211414351,132.394414,11.857139,9.6069994,1.0
211414424,136.123958,11.858268,13.4099998,1.0
211414452,136.853874,11.858738,11.4649992,1.0
211414468,135.227745,11.859065,12.2309999,1.0
211414485,133.077722,11.859464,12.5609999,1.0
211414565,136.692205,11.860683,12.2719994,1.0
211414600,129.914478,11.861202,13.3959999,1.0
211414687,132.914096,11.862589,12.3549995,1.0
211414707,130.67893,11.862852,13.9239998,1.0
211414962,132.87001,11.866654,12.9909992,1.0
211415109,133.205188,11.868961,13.8119993,1.0
211415204,133.325309,11.870453,13.8689995,1.0
211415226,134.548517,11.870724,11.3249998,1.0
211415229,132.732052,11.870739,12.3870001,1.0
211415273,132.867925,11.87153,13.2620001,1.0
211415283,130.655003,11.871723,12.6809998,1.0
211415364,132.742319,11.872875,13.1619997,1.0
211415386,130.455932,11.873112,13.9139996,1.0
211415477,135.625529,11.87458,12.3369999,1.0
211415650,132.840639,11.877207,11.6519995,1.0
211416028,130.031691,11.882762,11.8639994,1.0
211416111,132.780109,11.883866,12.7159996,1.0
211416186,134.554764,11.884937,11.7259998,1.0
211416360,131.675974,11.887322,12.0889997,1.0
211416375,135.792673,11.88759,13.0229998,1.0
211416496,132.403514,11.889459,11.6619997,1.0
211416749,132.899075,11.89297,12.493,1.0
211417004,132.567905,11.896681,13.3709993,1.0
211417034,135.488142,11.897381,13.3949995,1.0
211417130,133.160348,11.898937,13.9629993,1.0
211417205,137.363543,11.900102,13.1739998,1.0
211417209,135.651838,11.900156,13.3499994,1.0
211417532,130.709882,11.90473,13.2449999,1.0
211417763,131.04911,11.908037,13.1959991,1.0
211417812,132.750734,11.908914,13.0899992,1.0
211417815,130.700214,11.908925,12.4619999,1.0
