OBJID,RADEG,DECDEG,MAG0,PRI
210302627,58.325839,10.756204,12.8919992,1.0
210303168,58.353616,10.776454,13.0269995,1.0
210303479,58.387471,10.787848,10.8649998,1.0
210304352,58.436573,10.818656,12.6059999,1.0
210305942,58.46272,10.879433,13.5739994,1.0
210306475,58.593367,10.900302,11.7879992,1.0
210307350,58.801762,10.931172,12.8109999,1.0
210307378,58.233072,10.932454,11.3829994,1.0
210307958,58.580576,10.952181,12.8629999,1.0
210309091,58.52588,10.990866,13.4539995,1.0
210310009,58.454463,11.020746,13.2809992,1.0
210311067,58.575082,11.055397,13.7179995,1.0
210311597,58.177066,11.07353,12.5529995,1.0
210312506,58.172949,11.10386,12.3979998,1.0
210312900,58.191241,11.116947,12.5539999,1.0
210312949,58.94412,11.118518,11.8439999,1.0
210313423,58.50412,11.133252,13.6409998,1.0
210314226,58.291432,11.159685,12.0539999,1.0
210314431,58.428056,11.165564,12.7369995,1.0
210314440,58.284027,11.165734,13.6099997,1.0
210314566,58.185704,11.169962,12.8039999,1.0
210314854,58.438142,11.179192,12.099,1.0
210315825,58.609975,11.210628,12.3179998,1.0
210316002,59.103597,11.217183,13.1139994,1.0
210316476,58.681819,11.2322,13.0049992,1.0
210316742,58.131896,11.24037,13.0999994,1.0
210316947,59.369129,11.246722,13.2789993,1.0
210317378,58.143084,11.26078,13.1189995,1.0
210317585,59.526931,11.266763,12.5619993,1.0
210317628,58.252417,11.268221,13.8689995,1.0
210318238,58.279767,11.28812,12.1440001,1.0
210318481,58.803342,11.296355,13.6799994,1.0
210318725,58.420182,11.303442,12.4059992,1.0
210318757,58.074957,11.30458,12.3839998,1.0
210318953,59.466918,11.310007,12.9749994,1.0
210318976,58.822823,11.31066,11.5559998,1.0
210319059,58.878453,11.313793,13.8639994,1.0
210319568,58.824004,11.328996,12.0549994,1.0
210319653,59.22573,11.331365,10.6879997,1.0
210320059,58.880953,11.344628,13.835,1.0
210320099,58.141529,11.34607,12.6459999,1.0
210320253,58.414882,11.350557,12.9759998,1.0
210320522,59.395967,11.358885,12.6099997,1.0
210321100,58.985014,11.376412,12.1269999,1.0
210321165,58.880863,11.378207,12.8129997,1.0
210321327,59.430666,11.383042,11.6370001,1.0
210321339,59.428475,11.383403,13.5229998,1.0
210321990,58.933363,11.403273,12.7959995,1.0
210322064,59.648853,11.405735,12.3870001,1.0
210322349,59.117514,11.414905,10.2719994,1.0
210322499,59.079984,11.419772,10.4059992,1.0
210322505,58.065145,11.420155,12.7959995,1.0
