OBJID,RADEG,DECDEG,MAG0,PRI
220133060,16.9912701,-2.5905769,13.6799994,1.0
220135666,17.0366783,-2.468612,13.1099997,1.0
220136796,17.1821499,-2.4212799,13.625,1.0
220137077,17.0736637,-2.4093831,13.7749996,1.0
220137983,17.3896599,-2.370219,13.4619999,1.0
220138089,17.2329483,-2.3655219,13.0389996,1.0
220139473,16.8022671,-2.3079131,12.7059994,1.0
220139565,17.3036156,-2.3049519,12.8079996,1.0
220140289,17.4207191,-2.2774661,13.7539997,1.0
220140290,16.8986397,-2.2774639,13.5539999,1.0
220140644,17.2209911,-2.2625439,11.2049999,1.0
220140691,17.3356037,-2.2609949,12.9729996,1.0
220140731,17.3779469,-2.259181,13.6659994,1.0
220141157,17.4318619,-2.241266,12.6199999,1.0
220141296,17.1097279,-2.2359071,13.493,1.0
220141787,17.6208038,-2.213804,12.2799997,1.0
220142109,17.4837551,-2.199506,11.1329994,1.0
220142506,17.0383759,-2.183166,12.8009996,1.0
220142862,16.6982384,-2.167515,13.6239996,1.0
220142943,17.2140694,-2.1638999,11.5869999,1.0
220143642,17.1109066,-2.1328321,12.3619995,1.0
220143717,17.2136307,-2.129636,13.7929993,1.0
220144271,17.7817402,-2.1070919,13.335,1.0
220144531,17.8130398,-2.0972991,13.8169994,1.0
220144605,17.1818886,-2.093689,13.3179998,1.0
220145271,17.3321953,-2.067606,11.8439999,1.0
220145469,17.1335773,-2.0599329,8.5649996,1.0
220145658,17.1956158,-2.053453,13.5769997,1.0
220145758,17.3337307,-2.0491171,13.2179995,1.0
220145762,17.3567562,-2.0489221,13.1739998,1.0
220145945,17.435854,-2.042119,12.2879992,1.0
220146001,17.105526,-2.0399799,13.5209999,1.0
220146118,16.8302917,-2.0360129,13.9949999,1.0
220146202,17.7754345,-2.032536,12.6549997,1.0
220146494,17.7500687,-2.0226159,13.1849995,1.0
220146830,17.6269093,-2.0104201,13.6629992,1.0
220146861,17.3753872,-2.009377,13.2939997,1.0
220146930,16.6104889,-2.0066111,13.4289999,1.0
220147242,17.8296032,-1.994136,13.9989996,1.0
220147299,13.1929665,-1.9919879,11.8179998,1.0
220147316,16.9760818,-1.991258,13.2469997,1.0
220147333,16.7488003,-1.9905699,11.724,1.0
220147388,17.8170242,-1.988471,9.2199993,1.0
220147642,17.8662319,-1.978725,12.8169994,1.0
220147843,17.0943356,-1.970944,13.4129992,1.0
220147993,17.0467186,-1.965294,12.927,1.0
220148496,16.7096767,-1.9457951,12.2030001,1.0
220148658,16.957922,-1.94008,11.2799997,1.0
220148737,17.6642818,-1.937636,12.8259993,1.0
220148978,17.1819878,-1.928449,13.4779997,1.0
220149512,17.8329411,-1.90957,12.1689997,1.0
220149551,16.5226822,-1.908518,12.3610001,1.0
220149743,17.7593746,-1.9016089,13.3989992,1.0
220150064,17.1014576,-1.8915581,12.9819994,1.0
220150092,18.1046028,-1.890563,13.3719997,1.0
220150121,13.327527,-1.889565,10.2119999,1.0
220150126,16.8722687,-1.889379,13.073,1.0
220150649,17.4116154,-1.871159,10.4509993,1.0
220150657,13.1386251,-1.8710099,13.3139992,1.0
220150787,18.0041695,-1.866406,11.9399996,1.0
220151145,13.3218079,-1.854111,12.9089994,1.0
220151493,13.3518467,-1.841169,12.2269993,1.0
